"Provider Org name","total_decisions","total_admitted","total_failed_to_attend","total_removals","total_gp_referrals","total_other_referrals","total_first_seen","total_first_dna","total_subs_seen","total_subs_dna","quarter_start"
BMI - THE BEAUMONT HOSPITAL,1756,1458,0,197,2489,92,2350,128,6085,369,2017-07-01
BMI - THE BLACKHEATH HOSPITAL,620,408,0,100,715,49,666,39,1816,115,2017-07-01
BMI - THE CHAUCER HOSPITAL,882,737,0,106,791,165,930,43,1554,75,2017-07-01
BMI - THE CHILTERN HOSPITAL,307,201,0,33,277,81,398,7,1153,24,2017-07-01
BMI - THE CLEMENTINE CHURCHILL HOSPITAL,1214,980,0,246,1125,513,1368,82,5270,401,2017-07-01
BMI - THE DROITWICH SPA HOSPITAL,1127,796,0,131,932,166,957,42,3592,151,2017-07-01
BMI - THE ESPERANCE HOSPITAL,553,418,0,41,190,78,226,18,1022,41,2017-07-01
BMI - THE HAMPSHIRE CLINIC,842,775,0,60,769,248,943,37,3245,117,2017-07-01
BMI - THE HARBOUR HOSPITAL,248,242,0,16,191,4,215,10,425,16,2017-07-01
BMI - THE HIGHFIELD HOSPITAL,1584,1127,0,236,2084,105,1697,163,5354,379,2017-07-01
BMI - THE KINGS OAK HOSPITAL,550,393,0,95,860,40,812,24,1597,80,2017-07-01
BMI - THE LONDON INDEPENDENT HOSPITAL,2045,1312,0,347,2282,762,2226,105,5858,534,2017-07-01
BMI - THE MANOR HOSPITAL,272,219,0,42,263,113,305,17,744,27,2017-07-01
BMI - THE MERIDEN HOSPITAL,813,575,0,82,1084,96,1062,35,3120,189,2017-07-01
BMI - THE PARK HOSPITAL,666,538,0,77,692,196,797,21,2534,89,2017-07-01
BMI - THE PRINCESS MARGARET HOSPITAL,273,251,0,24,492,66,560,38,1133,27,2017-07-01
BMI - THE PRIORY HOSPITAL,443,315,0,68,849,90,800,50,1957,130,2017-07-01
BMI - THE RIDGEWAY HOSPITAL,698,764,0,68,773,45,726,24,2217,64,2017-07-01
BMI - THE RUNNYMEDE HOSPITAL,128,115,0,6,61,114,154,6,386,4,2017-07-01
BMI - THE SANDRINGHAM HOSPITAL,531,478,0,38,432,107,536,26,1386,49,2017-07-01
BMI - THE SAXON CLINIC,502,347,0,60,388,171,438,27,1113,44,2017-07-01
BMI - THE SHELBURNE HOSPITAL,82,56,0,12,99,25,110,3,63,4,2017-07-01
BMI - THE SLOANE HOSPITAL,259,165,0,37,377,24,345,19,741,15,2017-07-01
BMI - THE SOMERFIELD HOSPITAL,558,425,0,73,674,73,612,26,1485,80,2017-07-01
BMI - THE SOUTH CHESHIRE PRIVATE HOSPITAL,786,635,0,133,1230,51,1138,70,2427,119,2017-07-01
BMI - THE WINTERBOURNE HOSPITAL,625,450,0,49,651,72,690,16,2104,53,2017-07-01
BMI - THORNBURY HOSPITAL,870,338,0,95,857,154,518,17,1574,116,2017-07-01
BMI - THREE SHIRES HOSPITAL,1044,840,0,123,1731,117,1672,66,4000,152,2017-07-01
BMI GISBURNE PARK HOSPITAL,923,775,0,79,1058,111,1039,39,2899,145,2017-07-01
BMI MOUNT ALVERNIA HOSPITAL,347,261,0,48,274,74,1111,63,3193,245,2017-07-01
BMI SOUTHEND PRIVATE HOSPITAL,362,382,0,149,380,337,562,59,629,34,2017-07-01
BMI ST EDMUNDS HOSPITAL,442,351,0,41,373,158,516,16,622,18,2017-07-01
BMI THE DUCHY HOSPITAL,253,218,0,27,324,62,386,11,1353,47,2017-07-01
BMI THE EDGBASTON HOSPITAL,953,687,0,155,1291,130,1312,58,3390,285,2017-07-01
BMI THE HUDDERSFIELD HOSPITAL,994,640,0,106,1014,244,928,60,3943,202,2017-07-01
BMI THE LANCASTER HOSPITAL,545,341,0,62,419,35,411,27,1197,122,2017-07-01
BMI THE LINCOLN HOSPITAL,541,359,0,79,558,65,472,15,1608,48,2017-07-01
BMI WOODLANDS HOSPITAL,1551,1348,0,145,1582,238,1712,47,6834,258,2017-07-01
BOLTON NHS FOUNDATION TRUST,6717,6186,310,782,16234,10274,20022,1971,41563,4538,2017-07-01
BOSTON WEST HOSPITAL,608,678,3,63,1231,0,1261,110,2264,158,2017-07-01
BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,0,267,0,0,493,0,397,0,0,0,2017-07-01
BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,8485,8120,172,981,18349,13291,24856,2646,54820,7033,2017-07-01
BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0,0,0,0,1816,1230,2139,395,3720,579,2017-07-01
BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,12274,11440,215,1990,22888,13065,44188,3369,105028,8552,2017-07-01
BROMLEY HEALTHCARE,83,84,0,0,462,244,400,61,4006,291,2017-07-01
BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,10703,9504,85,1727,22995,6137,27062,1745,45864,2850,2017-07-01
BURTON HOSPITALS NHS FOUNDATION TRUST,5728,5730,147,874,13478,7364,17953,1421,33879,2780,2017-07-01
CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,9848,8470,51,578,26143,0,29646,2376,56947,3465,2017-07-01
CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,13561,10340,1,1984,29676,15699,36771,1360,88980,6474,2017-07-01
CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,150,150,0,0,137,473,126,14,566,81,2017-07-01
CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,9,9,0,0,1443,1346,2137,130,3445,356,2017-07-01
CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,0,0,0,0,208,340,368,39,670,50,2017-07-01
CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,22275,18461,1577,4251,35095,43757,63958,10019,175608,20683,2017-07-01
CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,9118,8765,253,1496,27930,20985,42782,7370,98457,13987,2017-07-01
CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,508,513,0,0,0,0,612,110,3251,698,2017-07-01
CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,6200,5563,133,700,12092,6009,17760,1512,53207,4422,2017-07-01
CIRCLE - NOTTINGHAM NHS TREATMENT CENTRE,4919,7207,120,14,14943,907,13402,1208,27836,2924,2017-07-01
CIRCLE BATH HOSPITAL,1427,1369,2,11,2770,1,2817,133,2063,218,2017-07-01
CIRCLE READING HOSPITAL,1053,1134,17,4,2721,0,2586,134,2407,175,2017-07-01
CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,12942,11596,318,1250,24932,15850,44961,3543,70857,7209,2017-07-01
CLIFTON PARK HOSPITAL,365,343,0,35,533,0,554,34,2833,98,2017-07-01
COBALT HOSPITAL,822,890,55,447,1072,0,518,94,846,89,2017-07-01
COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,8289,7234,14,1226,13820,7276,22082,1744,37200,3130,2017-07-01
COMMUNITAS CLINICS,0,0,0,0,325,0,310,11,134,8,2017-07-01
CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,347,247,531,8,0,0,2017-07-01
COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,5487,4811,70,629,15751,17992,20997,1860,50450,4507,2017-07-01
COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,7612,6802,108,1045,26068,19277,47071,4185,73056,8686,2017-07-01
COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0,0,0,0,1064,212,1122,200,1102,202,2017-07-01
CROYDON HEALTH SERVICES NHS TRUST,7407,5803,123,759,17988,8057,24516,3117,55356,4951,2017-07-01
CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,203,197,288,54,919,123,2017-07-01
DARTFORD AND GRAVESHAM NHS TRUST,8053,6782,185,1445,12804,7599,16950,1652,29621,2595,2017-07-01
DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,17102,15310,155,1803,24484,14891,36467,3000,79815,5613,2017-07-01
DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,1428,1346,8,124,4617,866,4772,275,10233,661,2017-07-01
DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,0,0,49,2600,2036,436,6791,1214,2017-07-01
DEVIZES NHS TREATMENT CENTRE,924,960,32,119,782,992,1127,116,630,40,2017-07-01
DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,10590,9935,313,1558,27064,14610,39947,4603,82863,8968,2017-07-01
DORKING HEALTHCARE LIMITED (DHC),0,0,0,0,2761,202,2619,164,3691,300,2017-07-01
DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,6680,5878,147,761,9800,3767,13644,946,27995,1885,2017-07-01
DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,468,421,45,27,1917,162,1319,118,1561,157,2017-07-01
DUCHY HOSPITAL,1227,1482,2,47,1580,0,1677,52,5398,305,2017-07-01
DUDLEY AND WALSALL MENTAL HEALTH PARTNERSHIP NHS TRUST,0,0,0,0,837,464,1034,237,6483,1374,2017-07-01
EAST AND NORTH HERTFORDSHIRE NHS TRUST,11287,7299,787,595,24909,10671,31691,3224,59376,6990,2017-07-01
EAST CHESHIRE NHS TRUST,4362,3611,27,638,8883,4250,12396,661,16712,1129,2017-07-01
EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,10918,17075,172,1330,36589,25048,41499,2854,72940,4417,2017-07-01
EAST LANCASHIRE HOSPITALS NHS TRUST,12404,11677,426,1561,25007,8203,34498,2834,84497,6441,2017-07-01
EAST LONDON NHS FOUNDATION TRUST,0,0,0,0,1099,3240,2441,0,0,0,2017-07-01
EAST SUSSEX HEALTHCARE NHS TRUST,5223,4678,173,969,22944,12281,26443,2347,45228,4176,2017-07-01
EMERSONS GREEN NHS TREATMENT CENTRE,2155,2205,48,263,1978,1751,2228,198,2087,120,2017-07-01
EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,8181,6704,113,1660,23499,2622,26352,2228,47646,4517,2017-07-01
EPSOMEDICAL GROUP,1382,1230,4,0,2610,186,2552,83,2688,88,2017-07-01
ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,251,2287,1070,567,4464,774,2017-07-01
EUXTON HALL HOSPITAL,1342,1557,0,315,3192,0,2821,45,7014,158,2017-07-01
FAIRFIELD HOSPITAL,1037,1037,0,0,1932,0,1899,20,3571,276,2017-07-01
FITZWILLIAM HOSPITAL,1516,1961,7,79,2749,0,2901,134,8505,499,2017-07-01
FRIMLEY HEALTH NHS FOUNDATION TRUST,15304,13271,356,3247,42931,19986,47701,5038,80604,8319,2017-07-01
FULWOOD HALL HOSPITAL,1449,1800,4,111,3221,0,3105,151,7118,488,2017-07-01
GATESHEAD HEALTH NHS FOUNDATION TRUST,4593,2885,137,688,9183,4553,12077,873,25413,2670,2017-07-01
GEORGE ELIOT HOSPITAL NHS TRUST,4236,4547,139,515,11405,5804,16945,1575,32011,3733,2017-07-01
GLOUCESTERSHIRE CARE SERVICES NHS TRUST,0,0,0,0,0,296,286,10,132,37,2017-07-01
GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,10969,10701,0,0,50741,17675,44035,3654,88722,6053,2017-07-01
GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,3911,3961,88,352,852,8240,9382,746,39804,3373,2017-07-01
GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,4536,3577,50,601,18793,9627,24294,1884,43380,3095,2017-07-01
GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,23075,20682,682,3427,50897,61316,75374,9321,139303,17916,2017-07-01
HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,11098,10280,225,1529,24186,10256,30966,2361,59374,4974,2017-07-01
HAND TO ELBOW CLINIC (BATH),0,0,0,0,31,0,34,0,89,0,2017-07-01
HARROGATE AND DISTRICT NHS FOUNDATION TRUST,5435,5395,96,663,11849,4383,15485,1015,28781,2232,2017-07-01
HEART OF ENGLAND NHS FOUNDATION TRUST,18349,15034,495,3031,45263,29322,63840,9265,148137,16571,2017-07-01
HERE,739,1294,53,152,2105,108,2021,187,5779,330,2017-07-01
HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,0,0,5482,852,3582,342,4833,572,2017-07-01
HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,3734,3281,292,406,19509,9474,26640,4044,51527,9518,2017-07-01
HORTON NHS TREATMENT CENTRE,778,747,0,77,1464,0,1383,90,5859,264,2017-07-01
HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,16183,13618,396,2128,32992,11178,46270,4412,98938,9228,2017-07-01
HUMBER NHS FOUNDATION TRUST,0,0,0,0,216,101,350,34,617,79,2017-07-01
IMPERIAL COLLEGE HEALTHCARE NHS TRUST,18812,28484,786,17743,38759,33475,63810,9502,159918,21112,2017-07-01
INHEALTH LIMITED,0,0,0,0,2781,0,3299,215,2330,0,2017-07-01
IPSWICH HOSPITAL NHS TRUST,8679,7496,72,1165,20445,16794,32231,1627,60420,3622,2017-07-01
ISIGHT,191,363,1,0,76,274,266,13,848,25,2017-07-01
ISLE OF WIGHT NHS TRUST,3489,1875,67,457,8515,7502,13003,884,21209,1535,2017-07-01
JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5250,6440,320,796,12908,6050,18638,1670,36658,3349,2017-07-01
KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,102,102,0,0,0,0,0,0,0,0,2017-07-01
KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,0,0,743,0,577,0,0,0,2017-07-01
KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,8726,8777,202,1121,12838,11695,21131,1545,48228,3840,2017-07-01
KIMS HOSPITAL (NEWNHAM COURT),920,795,191,0,2363,1,1852,68,5829,294,2017-07-01
KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,21503,18597,522,2746,61359,27675,71019,11670,148007,20685,2017-07-01
KINGSTON HOSPITAL NHS FOUNDATION TRUST,6451,4711,193,1453,21791,6589,26315,2471,37295,3175,2017-07-01
LANCASHIRE CARE NHS FOUNDATION TRUST,0,0,0,0,478,2454,1671,379,4528,934,2017-07-01
LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,14658,11031,151,1732,22074,15972,35762,3531,89262,9557,2017-07-01
LEEDS COMMUNITY HEALTHCARE NHS TRUST,68,68,0,0,662,1011,1197,114,4232,324,2017-07-01
LEEDS TEACHING HOSPITALS NHS TRUST,20161,19129,490,3447,41962,33277,71900,6555,180612,13820,2017-07-01
LEICESTERSHIRE PARTNERSHIP NHS TRUST,0,0,0,0,125,172,129,49,636,132,2017-07-01
LEWISHAM AND GREENWICH NHS TRUST,10831,8598,156,1794,31285,23463,60781,12440,75754,14352,2017-07-01
LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,368,921,951,243,2747,714,2017-07-01
LIVERPOOL COMMUNITY HEALTH NHS TRUST,0,0,0,0,0,0,0,0,0,0,2017-07-01
LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,1807,1906,12,93,1515,1575,3019,285,11719,1139,2017-07-01
LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,2545,2446,38,171,5046,11362,13292,1458,21831,2576,2017-07-01
LIVEWELL SOUTHWEST,0,0,0,0,88,71,172,6,167,23,2017-07-01
LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,15478,11551,947,2364,37264,20375,47171,9627,73431,15612,2017-07-01
LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,9241,7507,336,1257,18538,16209,26700,2503,58158,6123,2017-07-01
MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,9649,9380,377,1784,24669,20226,43669,3081,73828,5157,2017-07-01
MEDWAY COMMUNITY HEALTHCARE,0,0,0,0,0,0,33,0,32,0,2017-07-01
MEDWAY NHS FOUNDATION TRUST,5770,5775,213,2159,22037,9278,24823,2410,52475,5288,2017-07-01
MERSEY CARE NHS FOUNDATION TRUST,0,0,0,0,3245,6176,1060,201,7478,1211,2017-07-01
MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,7928,7616,158,918,15136,4650,19540,1232,38621,2275,2017-07-01
MID ESSEX HOSPITAL SERVICES NHS TRUST,8066,6962,150,1126,15269,15032,25184,1894,45990,4927,2017-07-01
MID YORKSHIRE HOSPITALS NHS TRUST,13320,12234,208,1448,33444,18084,38544,3902,66033,5186,2017-07-01
MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,5697,5026,108,867,15954,8973,20462,1269,27557,1882,2017-07-01
MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,10139,8754,0,0,15890,6976,31000,4267,90266,11427,2017-07-01
MOUNT STUART HOSPITAL,948,877,32,85,1614,0,1539,82,2269,193,2017-07-01
NAVIGO,0,0,0,0,0,0,0,0,0,0,2017-07-01
NEW HALL HOSPITAL,1121,1466,0,81,1906,0,1804,70,5477,259,2017-07-01
NON ENGLISH PROVIDER,77,184,0,6,196,103,260,13,534,35,2017-07-01
NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,20629,18189,240,2880,35472,15980,46295,2188,71744,4313,2017-07-01
NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,0,0,0,0,0,0,0,0,0,0,2017-07-01
NORTH BRISTOL NHS TRUST,12201,14397,123,663,19664,10877,27145,1941,61384,5420,2017-07-01
NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,7967,6386,0,2503,16584,8713,25231,2032,51323,5123,2017-07-01
NORTH DOWNS HOSPITAL,138,336,0,3,600,0,698,10,1935,64,2017-07-01
NORTH EAST LONDON NHS FOUNDATION TRUST,0,0,0,0,421,1813,2731,44,5642,1513,2017-07-01
NORTH EAST LONDON TREATMENT CENTRE CARE UK,3668,2172,58,365,3615,3,2665,145,2442,98,2017-07-01
NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,6644,5785,131,1268,12595,10796,31808,4964,51046,7705,2017-07-01
NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,4269,3551,8,802,11725,5617,13638,1159,16685,2135,2017-07-01
NORTH WEST ANGLIA NHS FOUNDATION TRUST,13915,11825,147,1496,30523,15926,43616,3263,80368,5370,2017-07-01
NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST,0,0,0,0,2011,0,1597,593,12793,3399,2017-07-01
NORTH WEST CATS - INHEALTH PATHWAY MANAGEMENT CENTRE,0,0,0,0,7755,0,3024,242,1278,50,2017-07-01
NORTHAMPTON GENERAL HOSPITAL NHS TRUST,9039,7382,193,1501,16892,10344,26686,2244,57531,5376,2017-07-01
NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,148,148,0,0,25,448,387,56,803,97,2017-07-01
NORTHERN DEVON HEALTHCARE NHS TRUST,4674,3208,0,364,10361,3440,11609,740,27171,1864,2017-07-01
NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,9374,9199,325,1467,19662,15611,30474,2654,60171,5067,2017-07-01
"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",0,0,0,0,92,289,291,0,2746,444,2017-07-01
NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,8563,8394,142,875,15388,9562,28089,2100,65275,5478,2017-07-01
NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,22858,20768,378,2957,26805,19049,38780,3640,92157,8374,2017-07-01
NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,83,65,2,16,0,48,68,0,124,0,2017-07-01
NOVUS HEALTH LTD,314,306,3,5,1042,110,878,40,506,36,2017-07-01
"NUFFIELD HEALTH, BRENTWOOD HOSPITAL",342,350,0,13,968,0,705,10,1202,38,2017-07-01
"NUFFIELD HEALTH, BRISTOL HOSPITAL (CHESTERFIELD)",302,311,0,47,355,0,269,18,329,19,2017-07-01
"NUFFIELD HEALTH, CAMBRIDGE HOSPITAL",121,121,1,1,232,0,212,7,366,10,2017-07-01
"NUFFIELD HEALTH, CHELTENHAM HOSPITAL",13,9,0,0,13,0,18,0,23,1,2017-07-01
"NUFFIELD HEALTH, CHICHESTER HOSPITAL",148,159,2,20,178,0,180,8,310,12,2017-07-01
"NUFFIELD HEALTH, EXETER HOSPITAL",15,125,0,0,146,0,56,2,57,6,2017-07-01
"NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL",33,56,0,4,75,0,70,4,68,2,2017-07-01
"NUFFIELD HEALTH, LEEDS HOSPITAL",1091,1110,3,73,1690,0,1537,97,3120,253,2017-07-01
"NUFFIELD HEALTH, LEICESTER HOSPITAL",275,389,0,21,718,1,646,32,1088,69,2017-07-01
"NUFFIELD HEALTH, NORTH STAFFORDSHIRE HOSPITAL",630,408,0,32,1045,0,848,23,1154,38,2017-07-01
"NUFFIELD HEALTH, PLYMOUTH HOSPITAL",481,476,0,61,956,0,877,38,1113,102,2017-07-01
"NUFFIELD HEALTH, SHREWSBURY HOSPITAL",180,356,1,5,263,0,183,3,451,32,2017-07-01
"NUFFIELD HEALTH, TAUNTON HOSPITAL",109,106,0,7,265,0,198,2,586,23,2017-07-01
"NUFFIELD HEALTH, TEES HOSPITAL",722,922,6,39,918,0,967,20,2699,162,2017-07-01
"NUFFIELD HEALTH, THE GROSVENOR HOSPITAL, CHESTER",112,104,0,9,219,0,198,6,616,32,2017-07-01
"NUFFIELD HEALTH, WOKING HOSPITAL",123,104,0,5,258,0,190,3,273,14,2017-07-01
"NUFFIELD HEALTH, WOLVERHAMPTON HOSPITAL",541,662,0,23,745,0,719,30,1761,99,2017-07-01
"NUFFIELD HEALTH, YORK HOSPITAL",158,140,2,11,229,0,205,11,410,10,2017-07-01
NUFFIELD HOSPITAL OXFORD (THE MANOR),93,79,0,5,113,0,140,6,233,9,2017-07-01
OAKLANDS HOSPITAL,931,1007,0,86,2520,0,1947,20,6257,20,2017-07-01
OAKS HOSPITAL,465,549,1,35,1047,0,603,39,943,53,2017-07-01
OLDHAM INTEGRATED CARE CENTRE,0,0,0,0,3350,809,4821,314,7427,940,2017-07-01
ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL SITE,142,127,1,23,167,0,175,11,204,14,2017-07-01
OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,25532,21252,705,4695,45397,31779,68655,3978,110775,7178,2017-07-01
OXLEAS NHS FOUNDATION TRUST,0,0,0,0,17,138,294,63,462,79,2017-07-01
PARK HILL HOSPITAL,182,196,0,39,372,0,356,26,981,78,2017-07-01
PENINSULA NHS TREATMENT CENTRE,1418,1485,9,62,1447,372,1496,29,1644,87,2017-07-01
PENNINE ACUTE HOSPITALS NHS TRUST,15951,14317,705,3191,38369,32722,57547,6869,98256,14254,2017-07-01
PENNINE CARE NHS FOUNDATION TRUST,0,0,0,0,6,0,1411,248,5449,1243,2017-07-01
PINEHILL HOSPITAL,951,1153,7,124,1881,0,1707,64,5148,149,2017-07-01
PIONEER HEALTHCARE LIMITED,41,48,0,4,200,0,150,9,150,5,2017-07-01
PLYMOUTH HOSPITALS NHS TRUST,12103,9942,276,2214,20444,7310,27039,1749,53537,3254,2017-07-01
POOLE HOSPITAL NHS FOUNDATION TRUST,4472,3713,49,534,12367,10480,22833,1542,34099,2164,2017-07-01
PORTSMOUTH HOSPITALS NHS TRUST,13760,11552,217,2585,29047,16192,41998,2204,88193,5622,2017-07-01
PROVIDE,0,0,0,0,31,0,0,0,0,0,2017-07-01
QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,4054,3876,17,353,7063,6403,11494,1271,34255,3065,2017-07-01
RENACRES HOSPITAL,1064,1207,1,121,2397,0,2217,92,5330,41,2017-07-01
RIVERS HOSPITAL,2096,2222,0,185,2891,0,3065,45,11142,95,2017-07-01
ROWLEY HALL HOSPITAL,1032,1341,19,67,1796,0,1679,100,5901,288,2017-07-01
ROYAL BERKSHIRE NHS FOUNDATION TRUST,13320,11018,66,1050,30304,26803,42368,2885,69275,5145,2017-07-01
ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,8915,7311,0,308,0,6902,4975,496,32695,3342,2017-07-01
ROYAL CORNWALL HOSPITALS NHS TRUST,12194,10052,177,1492,24019,14124,31303,2518,68809,5030,2017-07-01
ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,12844,10870,293,1574,27197,9355,30243,2043,52929,3559,2017-07-01
ROYAL FREE LONDON NHS FOUNDATION TRUST,21982,16385,474,3365,56259,41455,82956,9652,150993,17498,2017-07-01
ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,7150,6137,280,1459,23781,16238,38758,4041,101433,9520,2017-07-01
ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,4490,3377,64,6,2863,3380,4206,190,18777,1655,2017-07-01
ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,4036,3289,12,324,3960,7569,2729,212,17876,2214,2017-07-01
ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,5932,7312,68,971,15335,9733,18869,1365,45446,2455,2017-07-01
ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,7156,6448,19,224,21423,16631,36248,2598,56305,4348,2017-07-01
SALFORD ROYAL NHS FOUNDATION TRUST,10174,9077,333,1855,22712,18237,43949,4519,93212,9261,2017-07-01
SALISBURY NHS FOUNDATION TRUST,3104,6215,23,0,10178,7587,14604,874,23603,1640,2017-07-01
SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,8144,12058,330,1383,35438,23154,52750,7240,80042,7607,2017-07-01
SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,2446,2382,84,216,3777,5582,13519,1468,24492,3514,2017-07-01
SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,24443,21144,562,3735,40706,36522,73378,5224,199294,14458,2017-07-01
SHEPTON MALLET NHS TREATMENT CENTRE,1693,1759,10,80,1421,1096,1763,76,2572,129,2017-07-01
SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,9661,8655,299,1004,16537,8621,25026,1834,58882,4123,2017-07-01
SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,5806,5957,91,863,16776,14989,33641,2636,53641,3623,2017-07-01
SHROPSHIRE COMMUNITY HEALTH NHS TRUST,158,265,0,26,1068,243,961,63,2035,198,2017-07-01
SOLENT NHS TRUST,0,0,0,0,1508,1361,1085,117,3804,440,2017-07-01
SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,79,44,418,64,1592,232,2017-07-01
SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,0,0,0,0,1458,230,2641,298,2017-07-01
SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,10039,9063,217,1009,27292,20533,39534,3936,85021,8008,2017-07-01
SOUTH TYNESIDE NHS FOUNDATION TRUST,2839,2602,103,380,4731,4737,8107,894,18754,1742,2017-07-01
SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,6129,5337,85,611,13402,4506,16856,1311,27715,2207,2017-07-01
SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,0,0,0,0,3291,4879,5715,555,67517,9429,2017-07-01
